Title,Rating,Level,Language,Price,URL,Image,Description,Platform,Certificate,Duration,Learning_Type,Enrolled,Reviews,Last_Updated,Category,Instructors
SDGAcademyX: Tech for Good: The Role of ICT in Achieving the SDGs,4.2,Intermediate, English,Free To Audit,https://www.edx.org/learn/technology/sdg-academy-tech-for-good-the-role-of-ict-in-achieving-the-sdgs,,"Tech for Good was developed by UNESCO and Cetic.br/NIC.br, the Brazilian Network Information Center’s Regional Center for Studies on the Development of the Information Society. It brings together thought leaders and changemakers in the fields of information and communication technologies (ICT) and sustainable development to show how digital technologies are empowering billions of people around the world by providing access to education, healthcare, banking, and government services; and how “big data” is being used to inform smarter, evidence-based policies to improve people’s lives in fundamental ways. ",edX,None,10 weeks 3–5 hours per week,Course,"10,664 already enrolled! ",5 ratings,None,Communication,"Tech for Good Faculty, Dorothy Gordon, Guilherme Canela Godoi, José Clastornik, Doreen Bogdan-Martin, Chief Nathaniel Ebo Nsarko, Eduardo Diniz, Luis Gonzalez Morales, Jessica Espey, Sara Rendtorff-Smith, Katina Michael, Jeffrey D. Sachs, "
"MITx: Circuits and Electronics 2: Amplification, Speed, and Delay",None,Intermediate, English,Free To Audit,https://www.edx.org/learn/circuits/massachusetts-institute-of-technology-circuits-and-electronics-2-amplification-speed-and-delay,,"Want to learn how to construct an amplifier for mobile phones? Wondering how energy storage elements like capacitors and inductors work, or how to make microchips run faster? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you. ",edX,Available for Paid verified track with cost $189 USD,5 weeks 7–9 hours per week,Course,"22,120 already enrolled! ",None,None,Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, "
UBCx: How to Code: Complex Data,None,Beginner, English,Free To Audit,https://www.edx.org/learn/coding/university-of-british-columbia-how-to-code-complex-data,,"As your program requirements get more complex, you will find that simple additions to the design method make it easy to write well-structured and well-tested code that is easy to maintain.",edX,Available for Paid verified track with cost $125 USD,6 weeks 2–3 hours per week,Course,"45,428 already enrolled! ",None,None,Computer Science,"Gregor Kiczales, "
KULeuvenX: Clinical Nutrition â€“ evidence-based practice,4.2,Intermediate, English,Free To Audit,https://www.edx.org/learn/nutrition/ku-leuven-clinical-nutrition-evidence-based-practice,,"The preventive aspect and importance of nutrition are well-known for both deficiency and chronic diseases. The importance of nutrition on global health is demonstrated in the Sustainable Development Goals for 2030 as set by the United Nations General Assembly, as nutrition is considered a cornerstone for 12 out of 17 of these goals. Nutrition has a positive effect on health as well as on economic growth.",edX,Available for Paid verified track with cost $59 USD,6 weeks 4–6 hours per week,Course,Starts Feb 27Ends Sep 15E,9 ratings,None,Food & Nutrition,"Christophe Matthys, Ann Mertens, Tim Vanuytsel, "
IDBx: Liderazgo femenino: potencia tus habilidades e impulsa el cambio,4.8,Intermediate, Spanish,Free To Audit,https://www.edx.org/learn/leadership/inter-american-development-bank-liderazgo-femenino-potencia-tus-habilidades-e-impulsa-el-cambio,,¿Sabes cuál es tu estilo de liderazgo? ¿Te gustaría desarrollar o fortalecer habilidades de liderazgo con un enfoque de género?¿Conoces cómo se encuentran los países de América Latina y el Caribe en temas de liderazgo femenino o cuál es la importancia de que más mujeres asuman cargos de toma de decisiones en la región? ¿Te gustaría conocer cuáles son los retos y oportunidades de las mujeres en esta era y qué habilidades y estrategias debes desarrollar para fortalecer tus competencias de liderazgo?,edX,Available for Paid verified track with cost $29 USD,10 weeks 1–2 hours per week,Course,"12,920 already enrolled! ",20 ratings,None,Communication,"Patricia Cauqui, Rocío Pastor, José María Gasalla, Ph.D., "
DelftX: Calculus II: Multivariable Functions,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/calculus/delft-university-of-technology-calculus-ii-multivariable-functions,,"A strong foundation in mathematics is critical for success in all science and engineering disciplines. Whether you want to make a strong start to a master’s degree, prepare for more advanced courses, solidify your knowledge in a professional context or simply brush up on fundamentals, this course will get you up to speed.",edX,Available for Paid verified track with cost $149 USD,6 weeks 4–6 hours per week,Course,Starts Feb 27Ends May 31E,None,None,Math,"Niek de Kleijn, Maarten van Hoven, Willem Schouten-Straatman, "
NYIF: Risk Management and Credit Principles,4.7,Advanced, English,Free To Audit,https://www.edx.org/learn/risk-management/new-york-institute-of-finance-risk-management-and-credit-principles,,"This course is Part 1 of the Credit and Credit Risk Analysis Professional Certificate program from the New York Institute of Finance. The course begins with an introduction to risk management and credit principles. You will review and understand credit risk, credit exposure, and the goals of credit analysis. You will learn about the purpose of debt, debt forms, and the difference between financing from debt vs. equity.",edX,Available for Paid verified track with cost $199 USD,6 weeks 2–3 hours per week,Course,"16,960 already enrolled! ",7 ratings,None,Economics & Finance,"Tracy Williams, "
"SDGAcademyX: One Planet, One Ocean",4.3,Intermediate, English,Free To Audit,https://www.edx.org/learn/oceanography/sdg-academy-one-planet-one-ocean,,"Is the ocean the real final frontier? Humans have a greater understanding of the surface of the moon than they do of the depths of these waters. But what we know of the ocean proves it hosts a wealth of opportunity – connecting the world; supporting important and basic economic, cultural and environmental functions – despite being under significant threat. Stressed by unsustainable lifestyles and the increasing demands of a growing global population, how do we become good stewards of this massive natural resource? ",edX,None,6 weeks 4–6 hours per week,Course,"23,780 already enrolled! ",10 ratings,None,Environmental Studies,"Martin Visbeck, Avan Antia, "
State-Bank-of-India: Relationship Marketing Strategy for Financial Services,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/banking/state-bank-of-india-relationship-marketing-strategy-for-financial-services,,"Marketing now is less about the Product or Service and more about the value it creates for the Customers. Ergo, it is imperative for Financial Services’ professionals to move from transaction management to relationship management and create meaningful relationships with the sole objective of enhancing customer value.",edX,Available for Paid verified track with cost $79 USD,6 weeks 1–3 hours per week,Course,"6,449 already enrolled! A",None,None,Business & Management,"Mukti Prakash Behera, Dr. Bindu K. Nambiar, Hari S Iyer, "
UBCx: Video Game Writing Essentials,3.7,Beginner, English,Free To Audit,https://www.edx.org/learn/video-game-writing/university-of-british-columbia-video-game-writing-essentials,,"Writing for video games is truly a new frontier, a place where writers and game designers are still learning, innovating and pioneering bold approaches to telling stories. ",edX,Available for Paid verified track with cost $99 USD,5 weeks 4–6 hours per week,Course,"7,923 already enrolled! A",7 ratings,None,Communication,"Peter Boychuk, Andrew Gray, "
EC-Council: Digital Forensics Essentials (DFE),None,Intermediate, English,Free To Audit,https://www.edx.org/learn/digital-forensics/ec-council-digital-forensics-essentials-dfe,,"The rapid evolution of computers has brought technical devices as an active weapon to criminals. Cybercriminals have enjoyed the pleasure of being able to combine a large array of complex technologies to be successful in their mission. Due to the complexity of the attack, investigating a crime in the cyber world has become increasingly difficult to do.",edX,Available for Paid verified track with cost $129 USD,1 weeks 16–24 hours per week,Course,Starts Feb 27Enroll,None,None,Computer Science,"Kevin King, "
"IBM: Introduction to Cloud Native, DevOps, Agile, and NoSQL",4.2,Intermediate, English,Free To Audit,https://www.edx.org/learn/cloud-computing/ibm-developing-cloud-native-applications,,"Interested in learning the complete process of developing cloud-native applications, from start to finish? Then this course is for you! ",edX,Available for Paid verified track with cost $49 USD,2 weeks 6–8 hours per week,Course,"10,196 already enrolled! ",18 ratings,None,Computer Science,"Upkar Lidder, "
IBM: Python for Data Engineering Project,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/python/ibm-python-for-data-engineering-project,,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!",edX,Available for Paid verified track with cost $29 USD,1 weeks 4–5 hours per week,Course,"7,268 already enrolled! A",None,None,Data Analysis & Statistics,"Joseph Santarcangelo, Ramesh Sannareddy, "
UCx: A Better Start to Reading,4.4,Beginner, English,Free To Audit,https://www.edx.org/learn/how-to-learn/university-of-canterbury-a-better-start-to-reading,,Teaching children to read well results in a lifetime of benefits.,edX,Available for Paid verified track with cost $189 USD,6 weeks 4–6 hours per week,Course,"12,026 already enrolled! ",5 ratings,None,Education & Teacher Training,"Gail Gillon, Amy Scott, Brigid McNeill, "
"UMD, USMx: The Industry and Profession in Construction Management",4.7,Intermediate, English,Free To Audit,https://www.edx.org/learn/construction/the-university-of-maryland-college-park-the-industry-and-profession-in-construction-management,,The industry and profession in construction management is big business. The construction industry will continue to play a key role in society.,edX,Available for Paid verified track with cost $249 USD,4 weeks 2–3 hours per week,Course,"6,256 already enrolled! A",7 ratings,None,Engineering,"Neil Schulman, "
HarvardX: We the People: Civic Engagement in a Constitutional Democracy,None,Beginner, English,Free To Audit,https://www.edx.org/learn/democracy/harvard-university-we-the-people-civic-engagement-in-a-constitutional-democracy,,When you read the Declaration of Independence do you feel inspired? Do you question those words? Do you think about what this means today?,edX,Available for Paid verified track with cost $149 USD,7 weeks 1–3 hours per week,Course,"8,598 already enrolled! A",None,None,Social Sciences,"Danielle Allen, "
IBM: Technical Support Basics for Everyone,5,Beginner, English,Free To Audit,https://www.edx.org/learn/technology/ibm-technical-support-basics-for-everyone,,"According to Indeed.com in August 2022, the average annual salary for Technical Support is $51,758, though it can go considerably higher. The need for technology is constantly growing, as is the job market for tech support professionals.",edX,Available for Paid verified track with cost $49 USD,5 weeks 9–12 hours per week,Course,Starts Feb 27Ends Jun 30E,10 ratings,None,Computer Science,"Rav Ahuja, Amy Norton, "
UWashingtonX: Strategic Applications of IT Project & Program Management,4.5,Beginner, English,Free To Audit,https://www.edx.org/learn/project-management/university-of-washington-strategic-applications-of-it-project-program-management,,"This course has a focus on learning the most commonly used project management methodologies in the IT field, and why they are effective. This course introduces you to project management standards and frameworks that increase efficiency and deliver tangible business benefits to IT projects.",edX,Available for Paid verified track with cost $249 USD,6 weeks 2–5 hours per week,Course,5 months2 - 5 hours per w,13 ratings,None,Business & Management,"Debra Hildebrand, "
WBGx: Solid Waste Management,4.4,Beginner, English,Free To Audit,https://www.edx.org/learn/waste-management/world-bank-group-solid-waste-management,,"Solid waste management (SWM) is a crucial function of local governments around the world, and directly affects public health, the environment, and livelihoods. However, rapid urbanization and population growth place multiple pressures on solid waste management systems, particularly in cities in low- and middle-income countries. In particular, the urban poor are most affected by lack of access to basic SWM services, such as waste collection and disposal.",edX,Available for Paid verified track with cost $5 USD,6 weeks 2–3 hours per week,Course,"16,803 already enrolled! ",10 ratings,None,Environmental Studies,"OLC and SURR, "
"MITx: Policy for Science, Technology and Innovation",None,Intermediate, English,Free To Audit,https://www.edx.org/learn/science/massachusetts-institute-of-technology-policy-for-science-technology-and-innovation,,"Innovation and accompanying science and technology are now seen not only to have a profound connection to our health and daily life, but also to the society’s economic growth and its corresponding ability to generate societal wellbeing and solve societal challenges -- and these economic and societal issues are deeply interrelated. This course focuses on science and technology policy – it will examine the science and technology innovation system, including case studies on energy, computing, advanced manufacturing and health sectors, with an emphasis on public policy and the federal government’s R&D role in that system. It will review the foundations of economic growth theory, innovation systems theory and innovation organization theory, as well as the basic approaches to science and technology policy, building toward a sophisticated understanding of these areas. The class will review a theory of direct and indirect economic factors in the innovation system, note the innovation-based competitive and advanced manufacturing challenges now facing the U.S. economy, review comparative efforts in other nations, study the varied models for how federal science and technology mission agencies are organized, and the growth of public-private partnership models as a way for science mission agencies to pursue mission agendas. Emphasis will also be placed on examining the organization and role of medical science and energy innovation agencies and gaps in the health, energy, and advanced production innovation economic models, as well as related innovation systems policy issues. The course will close with an examination of the science and technology talent base as a factor in growth and the education approaches that support it, and a discussion of the future of jobs and employment given increasing automation.",edX,Available for Paid verified track with cost $169 USD,8 weeks 3–5 hours per week,Course,"8,085 already enrolled! A",None,None,Social Sciences,"William B. Bonvillian, "
WellesleyX: APÂ® Italian Language and Culture (2023-2024),None,Advanced, English,Free To Audit,https://www.edx.org/learn/humanities/wellesley-college-ap-r-italian-language-and-culture,,AP® Italian Language and Culture provides learners of Italian at the intermediate/advanced level with an interactive learning experience that combines the highest academic standards with the goal of language proficiency.,edX,Available for Paid verified track with cost $59 USD,12 weeks 3–5 hours per week,Course,Starts Feb 27Ends Jun 1En,None,None,Humanities,"Daniela Bartalesi-Graf, "
WOBI: How to Influence the Consumer Behavior to Drive Sales by Jonah Berger,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/business-administration/wobi-how-to-influence-the-consumer-behavior-to-drive-sales-by-jonah-berger,,"Strengthen the relationship with your customers, learn how to use triggers and emotions in Communication and Marketing, get the keys to saying the right thing in the perfect moment to generate more sales... This and much more is what you will discover in this 4-hour course by Jonah Berger, professor at the Wharton School of the University of Pennsylvania.",edX,Available for Paid verified track with cost $309 USD,2 weeks 4–6 hours per week,Course,Starts Feb 27Ends Apr 20E,None,None,Business & Management,"Jonah Berger, "
TecdeMonterreyX: Estrategias y estilos de negociaciÃ³n,None,Beginner, Spanish,Free To Audit,https://www.edx.org/learn/negotiations/tecnologico-de-monterrey-estrategias-y-estilos-de-negociacion,,"El dilema del negociador es un fenómeno derivado de la tensión que surge cuando se tiene que discernir sobre la estrategia óptima de negociación ante una situación específica. El término fue popularizado por los precursores de la teoría estratégica en la negociación, los profesores David Lax y James Sebenius de Harvard Business School para ilustrar el predicamento entre cooperar o competir en una negociación.",edX,Available for Paid verified track with cost $189 USD,4 weeks 5–8 hours per week,Course,"20,548 already enrolled! ",None,None,Business & Management,"Daniel Meade Monteverde, Luz María Vargas Reguer, "
AWS: Building Modern Python Applications on AWS,None,Beginner, English,Free To Audit,https://www.edx.org/learn/python/amazon-web-services-building-modern-python-applications-on-aws,,"In modern cloud native application development, it’s often times the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This mean, less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS.",edX,Available for Paid verified track with cost $209 USD,6 weeks 1–4 hours per week,Course,Share this courseShare th,None,None,Computer Science,"Morgan Willis, Rick Hurst, Seph R, "
TecdeMonterreyX: EnergÃ­a elÃ©ctrica: conceptos y principios bÃ¡sicos,None,Intermediate, Spanish,Free To Audit,https://www.edx.org/learn/electrical-engineering/tecnologico-de-monterrey-energia-electrica-conceptos-y-principios-basicos,,"Actualmente el uso de la electricidad es algo cotidiano, sin embargo, muy pocas personas conocen los conceptos y principios básicos que permiten comprender como funciona, cuáles son sus parámetros básicos, cómo se miden o cómo hacer un mejor uso de la energía. ",edX,Available for Paid verified track with cost $59 USD,7 weeks 4–5 hours per week,Course,"20,282 already enrolled! ",None,None,Engineering,"Manuel Macías García, Rodolfo Anaya Zamora, Cornelio Contreras Hinojosa, "
"DelftX: Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",None,Intermediate, English,Free To Audit,https://www.edx.org/learn/software-testing/delft-university-of-technology-automated-software-testing-unit-testing-coverage-criteria-and-design-for-testability,,"Software testinggets a bad rap for being difficult, time-consuming, redundant, and above all - boring. But in fact, it is a proven way to ensure that your software will work flawlessly andcan meet release schedules. ",edX,Available for Paid verified track with cost $249 USD,5 weeks 3–5 hours per week,Course,"23,244 already enrolled! ",None,None,Computer Science,"Arie van Deursen, Maurício Aniche, "
IIMBx: DO Your Venture: Entrepreneurship For Everyone,None,Beginner, English,Free To Audit,https://www.edx.org/learn/entrepreneurship/indian-institute-of-management-bangalore-do-your-venture-entrepreneurship-for-everyone,,"This hands-on, action oriented business and management course will introduce you to a systematic, scientific and an easy process of testing your ideas and opportunities you envision.",edX,Available for Paid verified track with cost $150 USD,6 weeks 3–4 hours per week,Course,"72,084 already enrolled! ",None,None,Business & Management,"Suresh Bhagavatula, "
URosarioX: El cerebro y las emociones en el lenguaje,4.6,Beginner, Spanish,Free To Audit,https://www.edx.org/learn/language/universidad-del-rosario-el-cerebro-y-las-emociones-en-el-lenguaje,,"La emoción tiene una influencia sustancial en los procesos cognitivos de los seres humanos, incluida la percepción, la atención, el aprendizaje, la memoria, el razonamiento y la resolución de problemas; pero también en la construcción de las relaciones con el entorno social. ",edX,Available for Paid verified track with cost $49 USD,5 weeks 4–5 hours per week,Course,"62,551 already enrolled! ",5 ratings,None,Communication,"Ángela Martínez Rodríguez, Janeth Hernández Jaramillo, "
ETHx: Autonomous Mobile Robots,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/autonomous-robotics/eth-zurich-autonomous-mobile-robots,,"Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.",edX,Available for Paid verified track with cost $50 USD,15 weeks 4–8 hours per week,Course,"71,903 already enrolled! ",None,None,Computer Science,"Roland Siegwart, Margarita Chli, Marco Hutter, "
UQx: Introduction to Developmental Psychology,None,Beginner, English,Free To Audit,https://www.edx.org/learn/human-psychology/the-university-of-queensland-introduction-to-developmental-psychology,,Have you ever wondered what babies are capable of from the moment they're born?,edX,Available for Paid verified track with cost $249 USD,8 weeks 1–2 hours per week,Course,7 months1 - 2 hours per w,None,None,Humanities,"Blake McKimmie, Virginia Slaughter, Mark Nielsen, "
AdelaideX: World of Wine: From Grape to Glass,None,Beginner, English,Free To Audit,https://www.edx.org/learn/wine/university-of-adelaide-world-of-wine-from-grape-to-glass,,"Think about your favourite wine. Imagine the brilliance of its colour in the glass, the ripe fruit aromas on the nose, a hint of toasty oak and lingering tannins on the back palate. Perhaps you like a specific wine, but can’t pinpoint the reason why. The attributes that make wine so enjoyable are achieved through the expertise of viticulturists and winemakers, whose decision-making in the vineyard and winery is underpinned by science – to be precise, viticulture and oenology.",edX,Available for Paid verified track with cost $199 USD,6 weeks 2–3 hours per week,Course,"102,446 already enrolled!",None,None,Science,"Kerry Wilkinson, Cassandra Collins, David Jeffery, "
EC-Council: Network Defense Essentials (NDE),None,Intermediate, English,Free To Audit,https://www.edx.org/learn/network-security/ec-council-network-defense-essentials-nde,,"Network security plays a vital role in most organizations. It is the process of preventing and detecting unauthorized use of an organization’s networking infrastructure. Network Defense Essentials (NDE) is a security program covering the fundamental concepts of network security. It equips students with the skills required to identify the increasing network security threats that reflect on the organization's security posture and implement general security controls to protect the underlying networking infrastructure from unauthorized access, modification, destruction, or disclosure.",edX,Available for Paid verified track with cost $129 USD,1 weeks 16–24 hours per week,Course,Starts Feb 27Enroll,None,None,Computer Science,"Kevin King, "
LinuxFoundationX: Building a RISC-V CPU Core,None,Beginner, English,Free To Audit,https://www.edx.org/learn/design/the-linux-foundation-building-a-risc-v-cpu-core,,"Building a RISC-V CPU Core is designed for anyone with a technical inclination who is interested in learning more about hardware. Whether you are new to digital logic or are a seasoned veteran, students will take away new skills that can be applied immediately. No prior knowledge of digital logic design is required.",edX,Available for Paid verified track with cost $189 USD,7 weeks 1–2 hours per week,Course,"10,833 already enrolled! ",None,None,Computer Science,"Steve Hoover, "
UPValenciaX: Fundamentos TIC para profesionales de negocios: Ciberseguridad e Implicaciones sociales,None,Beginner, Spanish,Free To Audit,https://www.edx.org/learn/cybersecurity/universitat-politecnica-de-valencia-fundamentos-tic-para-profesionales-de-negocios-ciberseguridad-e-implicaciones-sociales,,Este curso forma parte de una serie de 5 cursos de introducción al uso de sistemas de información en las empresas que te introducirá en el apasionante mundo de las TIC.,edX,Available for Paid verified track with cost $69 USD,3 weeks 3–4 hours per week,Course,"11,362 already enrolled! ",None,None,Computer Science,"Ignacio Despujol, "
"HarvardX: Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",4.6,Beginner, English,Free To Audit,https://www.edx.org/learn/politics/harvard-university-citizen-politics-in-america-public-opinion-elections-interest-groups-and-the-media,,"Public opinion has a powerful yet inexact influence on elected officials. Politicians risk their careers if they ignore it, yet its power is not easy to capture nor quantify. This course will look at how political parties, campaigns, social movements, special interests, and the news media all play a role in influencing public opinion. ",edX,Available for Paid verified track with cost $149 USD,4 weeks 2–4 hours per week,Course,"36,820 already enrolled! ",17 ratings,None,Social Sciences,"Thomas E. Patterson, "
GTx: Introduction to Object-Oriented Programming with Java II: Object-Oriented Programming and Algorithms,3.2,Beginner, English,Free To Audit,https://www.edx.org/learn/java/the-georgia-institute-of-technology-introduction-to-object-oriented-programming-with-java-ii-object-oriented-programming-and-algorithms,,"Students will build on the skills learned from “Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics” and learn the basics of writing classes that serve as blueprints of concepts or objects that are represented in a programming problem. Students will leverage the concepts of inheritance, interfaces, and polymorphism to program reusability and flexibility in classes. Finally, students will gain experience walking through and analyzing algorithms that are applied on data (including objects) in many object-oriented programs.",edX,Available for Paid verified track with cost $249 USD,6 weeks 5–6 hours per week,Course,"8,705 already enrolled! A",6 ratings,None,Computer Science,"Olufisayo Omojokun, "
Google: Power Searching with Google,None,Beginner, English,Free To Audit,https://www.edx.org/learn/google-power-searching/google-power-searching-with-google,,Get the most out of your search engine skills! ,edX,Available for Paid verified track with cost $219 USD,3 weeks 4–6 hours per week,Course,"25,782 already enrolled! ",None,None,Computer Science,"Daniel Russell, "
IBM: AI for Everyone: Master the Basics,4.3,Beginner, English,Free To Audit,https://www.edx.org/learn/artificial-intelligence/ibm-ai-for-everyone-master-the-basics,,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!",edX,Available for Paid verified track with cost $99 USD,4 weeks 1–2 hours per week,Course,"157,536 already enrolled!",72 ratings,None,Computer Science,"Rav Ahuja, "
